Date,Clicks,Impressions,CTR,Position
2026-01-07,0,0,,
2026-01-08,0,0,,
2026-01-09,0,2,0%,12.5
2026-01-10,0,1,0%,13
2026-01-11,1,4,25%,23.2
2026-01-12,0,8,0%,56.5
2026-01-13,0,3,0%,8
2026-01-14,0,9,0%,41.6
2026-01-15,0,18,0%,20.4
2026-01-16,0,14,0%,41.1
2026-01-17,0,9,0%,29.2
2026-01-18,0,11,0%,38.4
2026-01-19,0,39,0%,40.2
2026-01-20,0,48,0%,20.3
2026-01-21,0,29,0%,37.4
2026-01-22,0,71,0%,45.4
2026-01-23,0,34,0%,42.3
2026-01-24,0,32,0%,39.9
2026-01-25,0,28,0%,34
2026-01-26,2,104,1.92%,26.8
2026-01-27,0,100,0%,25.9
2026-01-28,2,93,2.15%,22.8
2026-01-29,0,86,0%,25.6
2026-01-30,2,87,2.3%,18.1
2026-01-31,1,62,1.61%,30.8
2026-02-01,0,76,0%,22
2026-02-02,1,124,0.81%,30
2026-02-03,0,143,0%,48.2
2026-02-04,0,126,0%,51.8
